epoch,accuracy,loss,val_accuracy,val_loss
0,0.097019702,3.113247633,0.031811975,28.22333145
1,0.244768471,2.420105696,0.03107216,31.11437225
2,0.36170426,1.99032867,0.110744365,8.569915771
3,0.433771968,1.765710831,0.031413611,41.4697876
4,0.488313526,1.588185787,0.044730254,48.17166138
5,0.530521393,1.454801202,0.109207831,14.25295639
6,0.564648986,1.355003357,0.059355792,44.06730652
7,0.587196827,1.280366421,0.027828364,150.2848358
0,0.096934348,3.162233591,0.043307535,4.151313305
1,0.232164443,2.455533266,0.054461643,9.354828835
2,0.379941672,1.946111679,0.198895976,5.971721649
3,0.568930924,1.355083346,0.301786929,3.521410942
4,0.678056777,1.006260276,0.241691321,6.97733736
5,0.748218238,0.790786624,0.649499178,1.381877899
6,0.807027519,0.612167895,0.274470747,9.521139145
7,0.839988649,0.507815003,0.709025741,1.138710618
8,0.863503814,0.431808084,0.715570211,1.211411834
9,0.882111132,0.377015024,0.487423182,3.108981371
10,0.895497561,0.332926542,0.635158181,1.944076061
11,0.906152666,0.297839016,0.818518102,0.63536936
12,0.913151741,0.276187539,0.783746898,0.959129333
13,0.919923186,0.251476765,0.616605937,2.471643448
14,0.926950693,0.231651559,0.756259978,1.125950217
15,0.933522999,0.209697604,0.747382224,1.016495347
16,0.937420845,0.195687428,0.893979073,0.36238122
17,0.941688597,0.183676735,0.770373344,1.083183885
18,0.94507432,0.177333832,0.406385154,4.985067844
19,0.946667612,0.169542477,0.445253819,3.408608913
20,0.950593948,0.160614043,0.276519477,8.909466743
21,0.951006472,0.154501438,0.672091961,1.724978209
22,0.953837395,0.145007119,0.311119974,5.763781548
23,0.955857456,0.141132429,0.688481688,1.478613496
24,0.957621455,0.131587401,0.398304135,5.996401787
25,0.959570408,0.13011156,0.8725245,0.571183443
26,0.960921824,0.127041072,0.56510359,3.618965864
27,0.961647332,0.119156271,0.837753236,0.683529198
28,0.964663208,0.112249963,0.566867769,3.381304979
29,0.964250684,0.114833228,0.483155012,4.759801865
30,0.965488315,0.111310743,0.520657837,2.491010189
31,0.966171145,0.1061197,0.233211935,20.97317314
32,0.969627976,0.096847527,0.223196,26.39216805
33,0.969044745,0.099026069,0.685180962,1.686475873
34,0.969741821,0.097824827,0.296494424,6.381634235
35,0.971619606,0.093636096,0.692237675,2.075576544
36,0.971221268,0.093180813,0.125483721,15.31812477
37,0.972174406,0.087606221,0.780332327,1.419522405
38,0.974919975,0.082712196,0.71733439,1.47399199
39,0.974023759,0.083825529,0.605053484,2.759444237
40,0.973952651,0.083538651,0.627646267,2.457005978
41,0.975147605,0.080912165,0.352720231,7.939853668
42,0.975161791,0.078902178,0.819713175,0.834207177
43,0.976271451,0.076992095,0.271909863,14.10628223
44,0.976940036,0.073884815,0.600500822,3.419737101
45,0.975730836,0.077427708,0.793421328,1.231871605
46,0.976826251,0.077731594,0.794388771,1.096838355
47,0.977878928,0.068808705,0.465968579,5.695826054
48,0.978220344,0.070263304,0.108012751,81.22135162
49,0.977651298,0.071354061,0.849988639,0.868566275
50,0.979600251,0.066450462,0.343614846,11.75833225
51,0.978120804,0.06972108,0.69030273,1.740020633
52,0.979173481,0.067564078,0.832802176,0.803245485
53,0.979002774,0.066100113,0.076200776,237.8760986
54,0.979557574,0.064985618,0.931994081,0.275124222
55,0.980510712,0.062261157,0.208229005,24.69947243
56,0.980681419,0.062453918,0.815046668,0.880356491
57,0.980155051,0.064227849,0.795014799,1.128492713
58,0.981221974,0.059877008,0.929547012,0.365786523
59,0.981677234,0.059907924,0.280047804,13.41075516
60,0.982985973,0.055435821,0.629694998,2.698425531
61,0.981165111,0.060006805,0.888800383,0.53335911
62,0.980425358,0.062841885,0.773503304,1.273817062
63,0.983170927,0.05421504,0.428636461,8.630889893
64,0.982502341,0.056315463,0.293307543,59.22385406
65,0.98224622,0.057129532,0.762918293,1.210026979
66,0.982758403,0.056709502,0.06345322,113.7417374
67,0.98302865,0.055088732,0.869223773,0.92468828
68,0.983370066,0.054854333,0.665718198,2.90598011
69,0.983213603,0.054931257,0.696733415,2.317982912
70,0.983939111,0.054266397,0.660084248,2.006776333
71,0.984252095,0.050825674,0.041770998,689.7478638
72,0.983711481,0.053523511,0.236285001,14.04232597
73,0.984124064,0.053195212,0.677043021,2.481245756
74,0.984878004,0.049634907,0.578477144,3.129420757
75,0.984949172,0.050015617,0.572103322,3.709217787
76,0.983981788,0.050266042,0.778738916,1.353818059
77,0.983896434,0.053039744,0.437172771,3.997927666
78,0.985660434,0.046613615,0.874857724,0.616119206
79,0.985077202,0.048973292,0.107955836,74.50209808
80,0.985688865,0.048870422,0.363817424,10.65678883
81,0.985518157,0.048328165,0.185237885,47.38926315
82,0.986513972,0.045032192,0.21847257,14.6666193
83,0.986158311,0.046531443,0.152799904,33.32920456
84,0.984863818,0.04936095,0.876906455,0.658422172
85,0.986642003,0.04458198,0.815672636,1.167238235
86,0.985987604,0.046581395,0.15900296,31.44714928
87,0.986812711,0.043495603,0.567835212,6.063648701
88,0.986343265,0.045282077,0.056282721,93.0464325
89,0.986883819,0.044820912,0.156783521,49.63809204
90,0.985632002,0.048048507,0.073867515,32.88858414
91,0.98769474,0.042467568,0.874345541,0.739742994
92,0.986485541,0.046684649,0.077395856,418.1719055
93,0.986898065,0.043296017,0.278966546,30.82404137
94,0.987068772,0.044371866,0.582859099,3.095342398
95,0.986755788,0.043338425,0.409173697,9.617119789
96,0.98779428,0.040599186,0.780275464,1.499099851
97,0.986101449,0.046571162,0.856646955,0.810086131
98,0.985916495,0.049364693,0.247040749,20.78466606
99,0.989159942,0.036322199,0.399897575,6.494522095
