epoch,accuracy,loss,val_accuracy,val_loss
0,0.128046095,3.033691168,0.03994992,8.732304573
1,0.307475626,2.22192502,0.110687457,8.096877098
2,0.506550968,1.564833522,0.336728901,3.014237642
3,0.636944294,1.141656995,0.408889145,2.928214788
4,0.721971691,0.870143652,0.573184609,1.708527088
5,0.783441186,0.686691761,0.531413615,2.90450716
6,0.823188007,0.556338131,0.706407905,1.488854885
7,0.853303909,0.46521312,0.530673802,4.158353806
8,0.874628365,0.400510222,0.677043021,1.656370878
9,0.887844086,0.35995838,0.726325989,1.495332956
10,0.90114516,0.316323817,0.697188735,1.391943693
11,0.910363495,0.287260383,0.783405423,0.965170324
12,0.919396818,0.262882411,0.685067177,1.58254683
13,0.92366457,0.243532553,0.624174833,1.941701651
14,0.930720508,0.221910954,0.515706778,3.481737137
15,0.935471952,0.206505999,0.803949475,1.004192233
16,0.938573182,0.198372096,0.630320966,3.171469212
