epoch,accuracy,loss,val_accuracy,val_loss
0,0.913222849,0.261745125,0.262690634,12.91797066
1,0.668454349,1.067143202,0.094923742,23.03733253
2,0.884444118,0.353444189,0.351012975,10.66529083
3,0.914745033,0.26359427,0.573753715,4.411806107
4,0.928572416,0.216430694,0.654621005,2.567526817
5,0.939028382,0.182050005,0.808274508,1.073604465
6,0.947649181,0.161541536,0.814249933,1.119167566
7,0.954264164,0.138344318,0.731846094,2.196770906
8,0.957066655,0.128861129,0.799282968,1.091483355
9,0.960310102,0.118687898,0.873036623,0.620537877
10,0.962301731,0.111993529,0.828192592,0.895524561
11,0.966028869,0.102096342,0.874630094,0.538203061
12,0.968034685,0.09719754,0.862793088,0.730384409
13,0.970068991,0.090310656,0.862508535,0.666791856
14,0.96905899,0.0895712,0.908889115,0.384040356
15,0.970510006,0.086411774,0.896483064,0.443757504
16,0.972899914,0.080646731,0.840427935,0.964840412
17,0.973468959,0.079825103,0.805486023,1.281552553
18,0.974094868,0.077089228,0.688709319,2.306611061
19,0.976015389,0.072099671,0.8995561,0.458115667
20,0.975446343,0.073224746,0.879581153,0.572418988
21,0.97581619,0.072537601,0.888458908,0.566628277
22,0.977281451,0.068568282,0.861768723,0.826568604
23,0.976883113,0.067252077,0.774869084,1.440938234
24,0.978291512,0.063818626,0.926872313,0.291238397
25,0.978277266,0.06392841,0.925335765,0.327099681
26,0.97836262,0.063039951,0.843216479,0.990684748
27,0.980368435,0.057653744,0.890621424,0.52625525
28,0.980211973,0.058616582,0.939050734,0.265479267
29,0.97924459,0.061689146,0.924880505,0.314437211
30,0.979586005,0.05788701,0.830696583,0.962092102
31,0.980126619,0.057655524,0.935863853,0.277275681
32,0.980738342,0.057111867,0.927555203,0.333853304
33,0.982118189,0.053355355,0.917880714,0.372919083
34,0.981350005,0.056387737,0.863305271,0.652607977
35,0.981350005,0.055810805,0.911620736,0.469028205
36,0.98224622,0.05285107,0.89932847,0.484357506
37,0.983142495,0.050551437,0.838265419,0.866863787
38,0.981805265,0.054194055,0.939619839,0.277402908
